term,mean,max,min,std,document_count
distint,0.018079302135029167,0.16889840726461902,0.0015542798214535495,0.02715729154402188,159
desinform,0.0942761348062449,0.293531458033446,0.0021460464031689795,0.10589343210170792,28
senal,0.011647855886757704,0.11396164222408868,0.0005436607193788875,0.014708306401440292,504
fals,0.03632948553789287,0.24937156210507197,0.0009419726596766757,0.051409040273355674,131
la,0.00782842975562874,0.03778370352491752,0.0006838679371025797,0.004128131839391072,4744
estatu,0.10554997905416072,0.3176124097962818,0.0018124621211200863,0.11712092119752718,7
com,0.01448110153759829,0.09812789239752003,0.0010719034919292156,0.013511531464493397,1875
si,0.016090829563788343,0.13824603431728189,0.0007875227226774213,0.01851345944037524,1206
fuer,0.01791023354932259,0.15889047451057328,0.0006497111633780825,0.029473213923693765,316
del,0.014127675209899822,0.10320393692945995,0.0009335882452500488,0.011189751873834081,3128
dictador,0.09368888775150304,0.2939306445637452,0.00247056652631953,0.09313746741441643,24
soviet,0.05454497582262064,0.28813435225312833,0.0034875051281358475,0.08523556180993819,13
unas,0.023055776661953197,0.2697087742378205,0.0006883518600037182,0.03973688893175233,284
con,0.014654063656690282,0.10799593917358875,0.0010846077104951525,0.011706799356543292,2591
imag,0.039385893729958724,0.23815637585719898,0.0009707460972440177,0.048544421745452225,155
original,0.017253545609227237,0.21530600916929193,0.002836528351665703,0.032852879668657055,60
otras,0.013277839192572588,0.14607326386071076,0.0006100507539426436,0.020040107850319847,398
inteligent,0.03917845252573867,0.25053305459339054,0.0009881814218300788,0.0674740588406679,78
artificial,0.07062647495933558,0.2815958446051845,0.0022763335037033457,0.085823244842068,46
el,0.008961221757565084,0.0455292776077273,0.0006468640534431201,0.004950399287825823,4530
metraj,0.2423947757136974,0.34168902118677824,0.19274765297715696,0.07021163430681712,3
realment,0.015594462350559727,0.1707253795643436,0.0009897123453005425,0.025323909599131784,129
correspond,0.02339237777651667,0.2094744349793073,0.0020702774346562265,0.03852665035955014,55
embarc,0.06632061191890655,0.23269378151412506,0.0013911041286170521,0.06642192210169498,33
zarp,0.09130109837081117,0.32861256334806094,0.0048068327085487635,0.13727994661540843,4
tras,0.026470640423372497,0.2070421094442812,0.0004703364594372585,0.03132003693800528,696
fin,0.018754395550169854,0.1685548062815053,0.0006126480918909778,0.025278501651307763,372
de,0.004422565183936571,0.013831630341669733,0.0005949088318997736,0.0019546770892365476,5221
una,0.014478808229939973,0.09827826227531712,0.0011549795780218892,0.011648423752970616,2684
ved,0.18227884897645324,0.360119253373513,0.0044384445793934375,0.17784040439705978,2
pesc,0.0933906693937409,0.2609655494689563,0.0012449515081435895,0.08650262694679285,23
no,0.016238615368695045,0.11113963624119859,0.000715299348294118,0.01285262099842294,2268
inici,0.019490208760719878,0.13484384502520425,0.0006791430119627511,0.025588578859205468,372
humanitari,0.02336338972794703,0.24716895111042209,0.0034135071716442475,0.04846530744812935,24
contr,0.025650346103139956,0.22877693317990988,0.0005595088039726057,0.029924104438420543,704
bloque,0.05233709180229893,0.2689834992319224,0.0017778847149854903,0.0682803622244939,57
israeli,0.18974769662208185,0.7470891781452466,0.001505090260680426,0.18767253562695274,14
cuent,0.017050160351920945,0.13671737004226742,0.0005590442209815569,0.024072515947346024,471
derech,0.029533563218307888,0.23420985996762453,0.0006881008225356214,0.03634392807394906,359
adelant,0.03534056681739708,0.18630597454308262,0.0016660332093666019,0.04892925390247106,76
dat,0.02959301570979449,0.24109215471180243,0.0011717153708777333,0.04033560052531897,271
sobr,0.01755421188093557,0.13211278857977723,0.0008308980413822467,0.021812639137991006,868
primer,0.018997452171066062,0.18551771947069193,0.0005545366614613074,0.024870939475165273,717
sentenci,0.03928226407208833,0.17394131469286833,0.0019023538934550507,0.04336112387919493,101
justici,0.028799190439032372,0.1866771869766842,0.0015542798214535495,0.03858810278355837,159
transicional,0.17702672424756488,0.3444618945311863,0.009591553963943445,0.16743517028362143,2
ultim,0.020514841315614044,0.3506709041887506,0.0009452045935006754,0.0291830023708537,673
secretari,0.034740869945562726,0.18972028545279196,0.0009537568698034378,0.04113703512737245,165
exguerrill,0.3745987284685753,0.3745987284685753,0.3745987284685753,0.0,1
se,0.013858516282986118,0.06481945495382363,0.0009633989112801531,0.008759733900623392,2933
trat,0.017598258207995477,0.12168429240302998,0.0006128647313171996,0.023994008163343575,484
suplant,0.3372856050617866,0.3444618945311863,0.3301093155923869,0.007176289469399716,2
que,0.01148187802279173,0.05659625727185463,0.0007627527934212215,0.005496004835435078,4158
ha,0.01805493422165917,0.08561566040803281,0.00046178889108971306,0.013987446332134933,2344
sid,0.02227243369069404,0.15614651976700672,0.000887916846766082,0.02561394738527939,620
public,0.021556734852991623,0.19089084181744845,0.0008858043703825914,0.02630031730015335,818
por,0.013673153367587386,0.07938286673844529,0.001076377854080614,0.010331725186179377,2924
revist,0.033489150212380366,0.2189958142329403,0.0010675685278812635,0.049795844085630384,96
sum,0.020425143010238206,0.17534362447961513,0.0007322935593116177,0.02972803784942664,235
al,0.014255904147208847,0.10938829410749878,0.00060227553534755,0.013188866183612164,2300
patron,0.03330468732437657,0.24893039116874202,0.00427268581856796,0.059367302941324376,18
recurrent,0.05323967312869703,0.2630791911876389,0.003166311563221191,0.07764916144077239,13
