term,max_score,document_count
xiaomi,1.2049127322762234,4
taxist,1.1884234932904356,8
jamon,1.0893882021828991,8
cotx,1.076971344347154,1
ara,1.076971344347154,1
mateix,1.076971344347154,1
access,1.076971344347154,1
laeroport,1.076971344347154,1
fra,1.0327823419510487,4
serran,1.0084702328859492,13
expedicion,1.0009046917633044,5
refug,0.9903279467771607,2
antiaere,0.9903279467771607,2
borriquit,0.9396448082636402,3
robots,0.9169351682058589,9
socialconfus,0.9069232373449717,1
estrangul,0.9036845492071676,4
welcom,0.9036845492071676,4
alzir,0.880291508246365,2
kurz,0.880291508246365,2
argand,0.880291508246365,2
renac,0.8758377292841759,12
herman,0.8563548488843278,117
gret,0.8352398295676801,3
thunberg,0.8352398295676801,3
ls,0.8339603762333985,2
baraj,0.8337325757152397,7
els,0.8337325757152397,7
yih,0.8032751548508156,4
adid,0.7922623574217287,2
bateri,0.7891482077228982,10
otegi,0.7891482077228982,10
apunyal,0.7832518867979302,1
pakistan,0.7832518867979302,1
nivell,0.7832518867979302,1
espanist,0.7832518867979302,1
esbast,0.7832518867979302,1
afinc,0.7784814269270145,5
sabadell,0.7784814269270145,5
chiv,0.7784814269270145,5
ramad,0.7772344352473576,11
misil,0.7663580131236539,12
robot,0.7663580131236539,12
ques,0.7582774978023,11
podcasts,0.7582234761721306,6
maps,0.7582234761721306,6
calatrav,0.7574413883614196,5
johnny,0.7517158466109122,3
depp,0.7517158466109122,3
israeli,0.7470891781452466,14
socialdemocrat,0.7410956228579908,7
radar,0.7410956228579908,7
derrib,0.7384650692093777,15
adit,0.7315147625857483,11
europe,0.7264328266137791,146
jazz,0.7262588014552661,8
atent,0.7255151462893192,71
interpol,0.7229476393657341,4
israel,0.7228196763401269,17
impass,0.720238506747026,2
inamist,0.720238506747026,2
movomient,0.720238506747026,2
xuli,0.717980896231436,1
calam,0.717980896231436,1
zapat,0.7156748746101333,18
oton,0.7131717974934457,9
vien,0.7044041107940938,163
palestin,0.702504810152905,20
ronald,0.6905910376773644,22
at,0.6880346540102521,8
animalit,0.6833780423735565,3
prejubil,0.6833780423735565,3
exdirector,0.6833780423735565,3
ultras,0.6777634119053757,4
extincion,0.6669860605721918,7
propens,0.6669860605721918,7
aniversari,0.6649917360966128,27
lacab,0.6627515965213255,1
islam,0.6618966426059765,104
desahuci,0.6604457805752535,28
ferreir,0.6602186311847738,2
huescanastic,0.6602186311847738,2
osun,0.6602186311847738,2
idiosincraci,0.6602186311847738,2
anoscas,0.6602186311847738,2
musulmanell,0.6602186311847738,2
jajajajajajaajjajaajajajajaaj,0.6602186311847738,2
companys,0.6572251266961219,4
oslo,0.6572251266961219,4
vestuari,0.6572251266961219,4
aen,0.6572251266961219,4
ere,0.6572251266961219,4
be,0.6572251266961219,4
parabris,0.6572251266961219,4
amb,0.6572251266961219,4
torment,0.6564133948527802,15
today,0.6560593655988447,29
musulman,0.6556065879421686,108
os,0.6532456409918116,57
gratis,0.6518216716393845,30
